,[species_0],[species_1],[species_2],[species_3],[species_4],[species_5],[species_6],[species_7],[species_8],[species_9],[species_10],[species_11],[species_12],[species_13],[species_14],[species_15],[species_16],[species_17],[species_18],[species_19],[species_20],[species_21],[species_22],[species_23],[species_24],[species_25],[species_26],[species_27],[species_28],[species_29],[species_30]
species_16,-2.6230832664471864e-06,-1.4537067660747025e-09,0.3333916494489036,-0.33339164942056715,0.06560444064444226,-0.06560444054533339,-0.4422645737070945,0.44226457362431876,-13.708674933321277,13.708674932965852,-157.13640985907355,157.13640985635962,-30.11492156183158,30.114921561844916,0.0036958151807387663,-0.0036958150873639775,,-42068.536852507896,2.624481567181647e-06,-1.4609102966763507e-05,1.4609126083087174e-05,-2.876079539267569e-06,2.8761496650986373e-06,0.0027861127694421835,-0.0027861129177229787,0.0,0.0,0.0,0.0,0.0,0.0
species_17,-2.6230832664471864e-06,-1.4537067660747025e-09,0.3333916494489036,-0.33339164942056715,0.06560444064444226,-0.06560444054533339,-0.4422645737070945,0.44226457362431876,-13.708674933321277,13.708674932965852,-157.13640985907355,157.13640985635962,-30.11492156183158,30.114921561844916,0.0036958151807387663,-0.0036958150873639775,42068.536852507896,,2.624481567181647e-06,-1.4609102966763507e-05,1.4609126083087174e-05,-2.876079539267569e-06,2.8761496650986373e-06,0.0027861127694421835,-0.0027861129177229787,0.0,0.0,0.0,0.0,0.0,0.0
species_18,-85451.4643164683,-47.31371505824613,-10185.288258130446,10185.288258130604,-1999.5753227794082,1999.5753227795503,-61.057228630697956,61.05722863060752,-116697.04256919809,116697.04256919753,-466134.78872647416,466134.78872647235,-38886.32132576651,38886.321325766636,-13493.26573994281,13493.265739942924,-1934.7313486298444,1934.7313486300045,,-92921.1203753352,92921.12037533522,-17771.077651793676,17771.07765179385,-3573.1201900516808,3573.1201900515853,0.0,0.0,0.0,0.0,0.0,0.0
species_19,-2.885789380494922e-06,-1.5992978978178012e-09,-181.53956462300633,181.53956462294929,-35.72457628573075,35.72457628583167,-1.0617701014256498,1.0617701011700167,604.4854038615731,-604.4854038608221,7253.191943970094,-7253.191943971614,8654.028606135163,-8654.028606135262,-2.3418711615061816,2.3418711617099084,-0.3012266708659202,0.3012266710939002,2.887514710891992e-06,,-2631.6283283218627,517.6300940550922,-517.6300940550645,20.11051886455177,-20.110518864644593,0.0,0.0,0.0,0.0,0.0,0.0
species_20,-2.885789380494922e-06,-1.5992978978178012e-09,-181.53956462300633,181.53956462294929,-35.72457628573075,35.72457628583167,-1.0617701014256498,1.0617701011700167,604.4854038615731,-604.4854038608221,7253.191943970094,-7253.191943971614,8654.028606135163,-8654.028606135262,-2.3418711615061816,2.3418711617099084,-0.3012266708659202,0.3012266710939002,2.887514710891992e-06,2631.628328321866,,517.6300940550922,-517.6300940550645,20.11051886455177,-20.110518864644593,0.0,0.0,0.0,0.0,0.0,0.0
species_21,-1.9469882772682467e-06,-1.0790164502634998e-09,-181.5395642520052,181.5395642519191,-35.724576204177716,35.72457620425848,-1.0617701088911704,1.0617701086860807,604.4854043458948,-604.4854043443531,7253.191959567402,-7253.191959568881,8654.028612537986,-8654.028612538012,-2.341868381476767,2.3418683814537262,-0.30122539052172215,0.3012253907824439,1.948147352474431e-06,-1.0864518117159605e-05,1.08644138284338e-05,,-517.6300940550645,20.110518870842537,-20.110518870960124,0.0,0.0,0.0,0.0,0.0,0.0
species_22,-1.9469882772682467e-06,-1.0790164502634998e-09,-181.5395642520052,181.5395642519191,-35.724576204177716,35.72457620425848,-1.0617701088911704,1.0617701086860807,604.4854043458948,-604.4854043443531,7253.191959567402,-7253.191959568881,8654.028612537986,-8654.028612538012,-2.341868381476767,2.3418683814537262,-0.30122539052172215,0.3012253907824439,1.948147352474431e-06,-1.0864518117159605e-05,1.08644138284338e-05,517.6300940550922,,20.110518870842537,-20.110518870960124,0.0,0.0,0.0,0.0,0.0,0.0
species_23,-1.0217920873856201e-06,-5.662747123065989e-10,-334.0436114593799,334.04361145956983,-65.73319805025669,65.73319805033437,-1.9548965486184335,1.9548965483021066,673.761759741739,-673.761759740999,8074.097690272973,-8074.097690276704,11407.9148827407,-11407.914882740659,-4.35333179958737,4.353331799749563,-0.5687021111940945,0.5687021117434293,1.0224757716059685e-06,-5.725045411963947e-06,5.725206089361259e-06,-1.1272630141926736e-06,1.1270822142250836e-06,,-23.2060264611185,0.0,0.0,0.0,0.0,0.0,0.0
species_24,-1.0216443134443882e-06,-5.661929073734011e-10,-334.04361145897207,334.0436114591624,-65.7331980501764,65.73319805023735,-1.9548965486160534,1.9548965485519145,673.7617597400026,-673.761759739893,8074.097690253198,-8074.097690255594,11407.9148827375,-11407.914882737496,-4.353331796512065,4.353331796495088,-0.5687021102397315,0.5687021106593116,1.0224369664986928e-06,-5.724224517204371e-06,5.724214133806526e-06,-1.1271012946660144e-06,1.1270094546489418e-06,23.206026461054634,,0.0,0.0,0.0,0.0,0.0,0.0
species_25,500.4872875042307,-79999.26531903073,203.7047030265166,-203.70470302648997,40.090352514121214,-40.09035251406264,1.1897438353423255,-1.1897438354014107,773.3577146207124,-773.3577146212336,9275.023079858687,-9275.023079860974,16944.163216778703,-16944.16321677867,106385.82964985263,-106385.82964985252,42068.536852507896,-42068.536852507896,79498.77803152661,2631.628328321866,-2631.6283283218627,517.6300940550922,-517.6300940550645,23.206026461112188,-23.2060264611185,,0.0,0.0,0.0,0.0,0.0
species_26,9.443442413233544e-06,5.2335344761604095e-09,145.24158572312194,-145.24158572317052,28.582910870101358,-28.58291087019703,0.8482230253190581,-0.8482230253963885,-568768.1546775217,568768.154677522,-590724.9769201406,590724.976920139,-45628.43555224755,45628.43555224751,1.6460885035436754,-1.646088503438174,0.1723802281230746,-0.17238022795694025,-9.44869437565406e-06,5.268062432151054e-05,-5.2680644633558885e-05,1.0371666633091081e-05,-1.0371763589015851e-05,1.2131364289480282,-1.2131364289768194,0.0,,0.0,0.0,0.0,0.0
species_27,1.1977686758276224e-05,6.638006884903309e-09,143.49931475549548,-143.49931475540507,28.239965991210287,-28.2399659912359,-0.1079101942700676,0.10791019425960258,-556658.3008118286,556658.3008118282,-562454.1148691585,562454.1148691582,-43776.871975299495,43776.871975299466,1.613713138918683,-1.6137131387983266,0.16710199171939166,-0.16710199151809016,-1.1984360753558573e-05,6.681859122181777e-05,-6.681861608133961e-05,1.3155127116230384e-05,-1.3154989574104546e-05,-107105.96646388435,107105.96646388434,0.0,0.0,,0.0,0.0,0.0
species_28,-1.7542208155418848e-05,-9.72185189758908e-09,143.76655194673344,-143.76655194676033,-119959.90964748585,119959.90964748594,-10863.938729389716,10863.938729389523,-561318.2904939121,561318.2904939128,-562685.63415845,562685.6341584492,-44053.83396790043,44053.83396790056,-5155.276695686971,5155.27669568702,-558.8658104573284,558.8658104577335,1.755179255269468e-05,-9.792624253653531e-05,9.792613127501681e-05,-1.9279874322819524e-05,1.9279958602661886e-05,-109730.89467611152,109730.89467611135,0.0,0.0,0.0,,0.0,0.0
species_29,1.0083126160983131e-05,5.588045674335499e-09,143.66026916376336,-143.66026916372596,28.271653515226504,-28.271653515160626,0.8389818267882089,-0.8389818268866898,-557637.5942444209,557637.5942444213,-562503.2401223828,562503.2401223825,-43943.3849357166,43943.38493571666,1.620141894156404,-1.6201418942124897,0.16979505399406963,-0.1697950535356843,-1.0088651227609564e-05,5.62474178877892e-05,-5.624738453965013e-05,-119482.36990594494,119482.36990594494,-109680.64516004147,109680.6451600414,0.0,0.0,0.0,0.0,,0.0
species_30,499.99231731302626,0.734406657898979,203.4910896079277,-203.49108960793575,40.048243936505656,-40.04824393640592,1.1884757171927511,-1.188475717329614,772.1485102798101,-772.14851027958,9233.003416321459,-9233.003416323278,907.7734752164506,-907.7734752163813,8838.339123115009,-8838.339123115013,815.5394423862973,-815.5394423862306,5499.273276029184,2628.737645503273,-2628.737645503461,517.0602472860548,-517.060247286087,23.180752873761207,-23.180752873913054,0.0,0.0,0.0,0.0,0.0,
