,[species_0],[species_1],[species_2],[species_3],[species_4],[species_5],[species_6],[species_7],[species_8],[species_9],[species_10],[species_11],[species_12],[species_13],[species_14],[species_15],[species_16],[species_17],[species_18],[species_19],[species_20],[species_21],[species_22],[species_23],[species_24],[species_25],[species_26],[species_27],[species_28],[species_29],[species_30]
species_10,1.1697517582929489e-08,4.4162403682192686e-09,11.918839451337414,0.020267101289207685,11.911587617121103,0.003980827828035858,12.039595682842384,0.00011936813967641089,1.4402675078751055,0.0018587991750246627,,0.015701085009504998,1.0,0.16441730760404027,0.00031362255059115107,0.0024507549401510784,0.00010552153064194603,5.696205641909216e-05,6.851451992929085e-11,1.2407322334218038e-08,2.7819885487088625e-10,1.2418754450817652e-08,5.380223221364705e-11,0.8915562577289652,0.00017244566572523706,0.0,0.0,0.0,0.0,0.0,0.0
species_11,1.1697517582929489e-08,4.4162403682192686e-09,11.918839451337414,0.020267101289207685,11.911587617121103,0.003980827828035858,12.039595682842384,0.00011936813967641089,1.4402675078751055,0.0018587991750246627,1.0,,1.0,0.16441730760404027,0.00031362255059115107,0.0024507549401510784,0.00010552153064194603,5.696205641909216e-05,6.851451992929085e-11,1.2407322334218038e-08,2.7819885487088625e-10,1.2418754450817652e-08,5.380223221364705e-11,0.8915562577289652,0.00017244566572523706,0.0,0.0,0.0,0.0,0.0,0.0
species_12,1.0681091639194012e-08,4.032502487766841e-09,11.91883942464936,0.020267101243825383,11.911587590424903,0.003980827819113119,12.039595697759633,0.00011936813982419514,1.4402674999323912,0.0018587991647730773,1.4231053671766098,0.022344298347511178,,0.16441730760404027,0.00031362241830739507,0.0024507539064387578,0.0001055214674016114,5.696202228077554e-05,6.255768362401712e-11,1.1336109029506022e-08,2.5417927119224737e-10,1.1346728941349848e-08,4.915696523688818e-11,0.8915562535769596,0.00017244566492201813,0.0,0.0,0.0,0.0,0.0,0.0
species_13,1.0681091639194012e-08,4.032502487766841e-09,11.91883942464936,0.020267101243825383,11.911587590424903,0.003980827819113119,12.039595697759633,0.00011936813982419514,1.4402674999323912,0.0018587991647730773,1.4231053671766098,0.022344298347511178,1.0,,0.00031362241830739507,0.0024507539064387578,0.0001055214674016114,5.696202228077554e-05,6.255768362401712e-11,1.1336109029506022e-08,2.5417927119224737e-10,1.1346728941349848e-08,4.915696523688818e-11,0.8915562535769596,0.00017244566492201813,0.0,0.0,0.0,0.0,0.0,0.0
species_14,9.944744540081977e-09,3.754504527906455e-09,0.001636641248935083,2.7829868926942385e-06,0.001636413892656238,5.468861215622856e-07,0.3717309248777011,3.6855746765968562e-06,0.017726178066997188,2.2877281467258936e-05,0.016941894826027745,0.0002660061308837441,0.0017773044842517667,0.00029221961809428683,,7.81434541464366,1.0,0.5398145389993452,5.824901480053968e-11,1.0541082955436678e-08,2.3635310845036394e-10,1.0550585699775976e-08,4.5708223340564163e-11,0.00012005832798195686,2.3221797512756628e-08,0.0,0.0,0.0,0.0,0.0,0.0
species_15,9.944744540081977e-09,3.754504527906455e-09,0.001636641248935083,2.7829868926942385e-06,0.001636413892656238,5.468861215622856e-07,0.3717309248777011,3.6855746765968562e-06,0.017726178066997188,2.2877281467258936e-05,0.016941894826027745,0.0002660061308837441,0.0017773044842517667,0.00029221961809428683,1.0,,1.0,0.5398145389993452,5.824901480053968e-11,1.0541082955436678e-08,2.3635310845036394e-10,1.0550585699775976e-08,4.5708223340564163e-11,0.00012005832798195686,2.3221797512756628e-08,0.0,0.0,0.0,0.0,0.0,0.0
species_16,7.849673102425339e-09,2.9635384267754818e-09,0.0016366418865103182,2.782987976360606e-06,0.0016364146616571842,5.468863784475339e-07,0.37173092271568003,3.685574654283698e-06,0.017726175965085616,2.2877278754970544e-05,0.016941888824028473,0.00026600603664296785,0.0017773035573831989,0.0002922194657001588,3.474040491769052e-08,2.7147351697665083e-07,,0.5398145389993452,4.5974914207412653e-11,8.322820067780553e-09,1.8661458165110472e-10,8.330370325762884e-09,3.6090405478463015e-11,0.00012005988090975969,2.3222098451887954e-08,0.0,0.0,0.0,0.0,0.0,0.0
species_17,7.849673102425339e-09,2.9635384267754818e-09,0.0016366418865103182,2.782987976360606e-06,0.0016364146616571842,5.468863784475339e-07,0.37173092271568003,3.685574654283698e-06,0.017726175965085616,2.2877278754970544e-05,0.016941888824028473,0.00026600603664296785,0.0017773035573831989,0.0002922194657001588,3.474040491769052e-08,2.7147351697665083e-07,1.0,,4.5974914207412653e-11,8.322820067780553e-09,1.8661458165110472e-10,8.330370325762884e-09,3.6090405478463015e-11,0.00012005988090975969,2.3222098451887954e-08,0.0,0.0,0.0,0.0,0.0,0.0
species_18,170.73653307477056,64.40035476370109,50.00026070485281,0.08502172986970427,49.87672089126901,0.016668696472475684,51.3196427810277,0.0005088152832537845,150.89659075351872,0.19474608492728057,50.25699501909779,0.7890893511169239,2.2949685285880577,0.37733254650645637,0.12683329898684023,0.9911192083619528,0.04598998428238671,0.024826062163985765,,35.3093631708202,0.7917049461610428,34.331616063076645,0.14873388991014347,153.97380486656712,0.02978176088652314,0.0,0.0,0.0,0.0,0.0,0.0
species_19,9.433381695502062e-09,3.561446331396603e-09,0.8911898543617575,0.001515402159748889,0.8911015754512842,0.0002978042947082227,0.8924358924038021,8.84817190189993e-06,0.7816375170680732,0.001008775914160604,0.782013357974372,0.012278458212123627,0.5107380338242753,0.08397417241236974,2.2012998998289093e-05,0.0001720171777998,7.160379072041319e-06,3.865276730759933e-06,5.52513255952685e-11,,0.022421954831949795,1.0,0.004332271735675621,0.8666075986016926,0.00016762007217062334,0.0,0.0,0.0,0.0,0.0,0.0
species_20,9.433381695502062e-09,3.561446331396603e-09,0.8911898543617575,0.001515402159748889,0.8911015754512842,0.0002978042947082227,0.8924358924038021,8.84817190189993e-06,0.7816375170680732,0.001008775914160604,0.782013357974372,0.012278458212123627,0.5107380338242753,0.08397417241236974,2.2012998998289093e-05,0.0001720171777998,7.160379072041319e-06,3.865276730759933e-06,5.52513255952685e-11,1.0,,1.0,0.004332271735675621,0.8666075986016926,0.00016762007217062334,0.0,0.0,0.0,0.0,0.0,0.0
species_21,8.82167719777399e-09,3.330505628422404e-09,0.8911898525404883,0.0015154021566517132,0.8911015734170535,0.000297804294028219,0.8924358986786999,8.848171964534422e-06,0.7816375176943315,0.0010087759149675292,0.7820133596560183,0.01227845823852723,0.510738034202153,0.08397417247449869,2.2012972866674575e-05,0.00017201697358168135,7.16034863731741e-06,3.865260302073615e-06,5.166859650970866e-11,9.353444943702093e-09,2.0972255458613792e-10,,0.004332271735675621,0.8666075988727759,0.00016762007222326296,0.0,0.0,0.0,0.0,0.0,0.0
species_22,8.82167719777399e-09,3.330505628422404e-09,0.8911898525404883,0.0015154021566517132,0.8911015734170535,0.000297804294028219,0.8924358986786999,8.848171964534422e-06,0.7816375176943315,0.0010087759149675292,0.7820133596560183,0.01227845823852723,0.510738034202153,0.08397417247449869,2.2012972866674575e-05,0.00017201697358168135,7.16034863731741e-06,3.865260302073615e-06,5.166859650970866e-11,9.353444943702093e-09,2.0972255458613792e-10,1.0,,0.8666075988727759,0.00016762007222326296,0.0,0.0,0.0,0.0,0.0,0.0
species_23,7.715447771844389e-09,2.9128634789423007e-09,1.6398424115711112,0.0027884302317653475,1.639626342200488,0.000547959716237682,1.6431239150366774,1.6290966086488177e-05,0.8712161875467687,0.0011243855199284066,0.8705204958256546,0.013668116307477989,0.6732651672904204,0.11069644610947449,4.09202223070264e-05,0.00031976475156302454,1.3518466620062297e-05,7.297464833535911e-06,4.519031665881232e-11,8.185075608091313e-09,1.8352714144104092e-10,8.19264179554065e-09,3.5492510906391984e-11,,0.00019342095827495307,0.0,0.0,0.0,0.0,0.0,0.0
species_24,7.715629134551018e-09,2.912931895750772e-09,1.639842411569109,0.002788430231761946,1.6396263421984851,0.0005479597162368734,1.6431239150346768,1.629096608856993e-05,0.8712161875445237,0.0011243855199265613,0.8705204958235224,0.013668116307442253,0.6732651672902316,0.1106964461094438,4.092022227811931e-05,0.0003197647513239741,1.3518466597376335e-05,7.2974648196247185e-06,4.5192015800735934e-11,8.185269293520537e-09,1.8352996624959697e-10,8.192835554265205e-09,3.5493848981172494e-11,0.9999999999975199,,0.0,0.0,0.0,0.0,0.0,0.0
species_25,1.0,108889.80205926803,1.0,0.0017004257312090375,1.0,0.00033419792188800495,1.0,9.914630260597032e-06,1.0,0.0012905930078004207,1.0,0.015701085009504998,0.9999999999999998,0.16441730760404027,1.0,7.81434541464366,1.0,0.5398145389993452,0.9298235584397759,1.0,0.022421954831949795,1.0,0.004332271735675621,1.0,0.00019342095827495307,,0.0,0.0,0.0,0.0,0.0
species_26,2.1785983989983513e-08,8.225005432704305e-09,0.7130006502805956,0.0012124046521064652,0.7129623232929534,0.00023827052683009475,0.7129459301421792,7.0685952934505344e-06,735.4528750727856,0.9491703381350142,63.68986598027331,1.0,2.6928703984074396,0.442754500632771,1.5472817285249934e-05,0.00012090993879686202,4.097604557549796e-06,2.211946513103509e-06,1.2760007334002786e-10,2.3112194491162362e-08,5.182214675782123e-10,2.3133596933167523e-08,1.0022198481655107e-10,0.05227678383375913,1.0111425624895509e-05,0.0,,0.0,0.0,0.0,0.0
species_27,2.682001528710619e-08,1.0125536168778554e-08,0.7044477256708989,0.0011978610390218835,0.7044080238821344,0.00023541169774320302,0.0907003600813122,8.992605345773522e-07,719.794074964181,0.9289612002043168,60.64180218489861,0.9521420912344413,2.583595980234073,0.4247878950067081,1.5168497011700438e-05,0.00011853187506157745,3.972137000657246e-06,2.144217301268976e-06,1.570851667698338e-10,2.8454920601103532e-08,6.38015572374203e-10,2.848132592670602e-08,1.2338827076484154e-10,4615.437573656508,0.8927223583546231,0.0,0.0,,0.0,0.0,0.0
species_28,7.042797138858525e-08,2.6589133426382436e-08,0.7057596109011735,0.0012000918024248157,2992.238833650361,1.0,9131.32592636114,0.09053372034437666,725.8197337168954,0.9367378732579579,60.66676377122546,0.9525340152233306,2.59994154944617,0.42747538948781827,0.04845830231953384,0.37866991253206933,0.013284650531505628,0.007171247502437313,4.1249350472539014e-10,7.47637289740543e-08,1.6763484262588713e-09,7.483422518916272e-08,3.242039463220706e-10,4728.551648426091,0.9146009910909331,0.0,0.0,0.0,,0.0,0.0
species_29,2.3161247815583412e-08,8.744217666580884e-09,0.7052378616170824,0.0011992046065163703,0.7051984266106974,0.0002356758486917811,0.7051785450494125,6.991584542344158e-06,721.0603627558178,0.9305954623740663,60.647098694977494,0.9522252521894434,2.593423137721095,0.4264036497821262,1.5228925692814173e-05,0.00011900408566170993,4.036153071283292e-06,2.178774103623697e-06,1.3565500304274817e-10,2.4570318315573106e-08,5.509152097016911e-10,230.8257794092402,1.0,4726.3862834871925,0.9141821641294374,0.0,0.0,0.0,0.0,,0.0
species_30,0.9990110234494212,0.9996266252035785,0.998951357453141,0.0016986425924398073,0.9989496580854278,0.0003338468998025395,0.9989341250512052,9.904062505224379e-06,0.9984364229928254,0.001288575066246551,0.9954695893287345,0.01562995264642671,0.053574405746844155,0.008808559549381886,0.08307816136984228,0.6492014493574539,0.019385971165233894,0.010464829087614475,0.06431990494649403,0.9989015611408788,0.022397325685466547,0.9988991235718674,0.00432750243984205,0.9989109041397789,0.00019321030431122883,0.0,0.0,0.0,0.0,0.0,
